ID,Parent,Amount,Title,Tags,Text
1,,954600000,European coordination efforts,,"Since 1999, border control and migration are European issues. Member states have spent close to 1 billion euro to coordinate their response, through programs such as Seahorse network, Frontex, Eurodac, eu-LISA and more."
2,1,669600000,FRONTEX,,Frontex is the European agency that coordinates efforts in border control and deportations between member states.
3,,230000000,Research and development programs,,Over 60 billions were spent in European R&D programs since 2000. At least 39 programs were dedicated to research on how to keep migrants and refugees out.
4,,74658000,Technical assistance to North African dictatorships,,"The EU and member states have helped Tunisia (under Ben Ali's rule), Egypt, Libya, Algeria and Mauritania to prevent refugees and migrants from crossing into Europe, most often disregarding concerns for human rights."
5,,13200000000,Deportations,,Member states spend lavishly to deport foreigners in charter planes or buses or to offer them incentives for voluntary returns. This figure does not include deportations within Europe under the Dublin Regulation.
6,,76600000,Fortifications (walls),,"Walls have been erected by member states at the borders to Spain, Greece and Bulgaria."
7,,223940000,Gear for European border guards,,"Drones, speedboats, night vision goggles, jeeps... Border guards went on a shopping spree that hugely benefited Airbus, Indra and other arms manufacturers."
8,,45800000,Detention centers in third countries,,The EU and member states have built ready-to-use detention centers for migrants and refugees in Libya and Ukraine.
9,1,8000000,EURODAC,,EURODAC is the system that stores the fingerprints of all asylum seekers in Europe. The figure does not include the fingerprint scanners bought by member states.
10,6,47000000,Melilla wall,,The 11-kilometer wall cost close to €40 million to build and now costs the Spanish taxpayers over €10m in maintenance.
11,3,16000000,Research on artificial noses that sniff refugees and migrants,,Five R&D projects were specifically focused on creating artificial sniffers that can smell refugees and migrants trying to hide at border crossing points.
