id,parent_id,title,text,amount,color,Tags
1,,Deportations 2000-2014,"Lorem ipsum dolor sit amet, meis volumus nam ad, ei civibus adipisci comprehensam pri. Maiorum invenire periculis an eam, an has blandit efficiendi, cu mea placerat vivendum dissentiet. Quo ad quod viris scribentur, te pertinax concludaturque vis, in insolens maiestatis sit. Omittam recusabo mnesarchum sit ea. Vis sale melius ea, his cu dico cetero.",10000000000,FF530D,deportations
2,1,From France,"Assum dicunt perpetua no sea. Est in nullam legere accommodare, in commune laboramus mediocritatem usu. Semper impetus an cum. Ne vix justo euismod ocurreret. Id enim oblique legimus usu. In liber munere invidunt sed.",800000000,E82C0C,"France, deportations"
3,1,From Belgium,"Tibique oportere consetetur eam at. Ea vel tale elitr, ad duo sumo prima animal, eam debitis complectitur ne. Has eligendi contentiones ea, no vero mucius euismod usu. Tation vocibus at per, te aliquid albucius nam. Sed cu enim possit, vis te esse latine bonorum, mei dicam reprimique liberavisse ex. Nibh comprehensam an sea.",200000000,FF0000,"Belgium, deportations"
4,1,From Spain,"Eu simul noster timeam mei, aliquip voluptua pri cu, ad eam habeo ridens. Munere malorum his ei, vis denique liberavisse vituperatoribus ex. Consul impedit euripidis nam te, facilis detraxit platonem ut sed. Cum at summo elitr, ne mundi nonumy feugait per. Ut sit omnes recusabo, porro sonet vim et.",400000000,FF0D00,"Spain, deportations"
5,,EURODAC,"Lorem ipsum dolor sit amet, meis volumus nam ad, ei civibus adipisci comprehensam pri. Maiorum invenire periculis an eam, an has blandit efficiendi, cu mea placerat vivendum dissentiet. Quo ad quod viris scribentur, te pertinax concludaturque vis, in insolens maiestatis sit. Omittam recusabo mnesarchum sit ea. Vis sale melius ea, his cu dico cetero.",30000000,E80C7A,hi-tech
6,,Research Projects,"Assum dicunt perpetua no sea. Est in nullam legere accommodare, in commune laboramus mediocritatem usu. Semper impetus an cum. Ne vix justo euismod ocurreret. Id enim oblique legimus usu. In liber munere invidunt sed.",100000000,0D62FF,hi-tech
7,6,MARISS,"Tibique oportere consetetur eam at. Ea vel tale elitr, ad duo sumo prima animal, eam debitis complectitur ne. Has eligendi contentiones ea, no vero mucius euismod usu. Tation vocibus at per, te aliquid albucius nam. Sed cu enim possit, vis te esse latine bonorum, mei dicam reprimique liberavisse ex. Nibh comprehensam an sea.",3000000,0C93E8,hi-tech
8,,Mellila Wall,"Eu simul noster timeam mei, aliquip voluptua pri cu, ad eam habeo ridens. Munere malorum his ei, vis denique liberavisse vituperatoribus ex. Consul impedit euripidis nam te, facilis detraxit platonem ut sed. Cum at summo elitr, ne mundi nonumy feugait per. Ut sit omnes recusabo, porro sonet vim et.",3000000,1FFF04,"wall, Spain, Morocco"
9,,Ceuta Wall,"Lorem ipsum dolor sit amet, meis volumus nam ad, ei civibus adipisci comprehensam pri. Maiorum invenire periculis an eam, an has blandit efficiendi, cu mea placerat vivendum dissentiet. Quo ad quod viris scribentur, te pertinax concludaturque vis, in insolens maiestatis sit. Omittam recusabo mnesarchum sit ea. Vis sale melius ea, his cu dico cetero.",3000000,6FE808,"wall, Spain, Morocco"
10,,Greek Wall,"Assum dicunt perpetua no sea. Est in nullam legere accommodare, in commune laboramus mediocritatem usu. Semper impetus an cum. Ne vix justo euismod ocurreret. Id enim oblique legimus usu. In liber munere invidunt sed.",3000000,D0FF09,"wall, Greece, Turkey"
11,,Bulgarian Wall,"Tibique oportere consetetur eam at. Ea vel tale elitr, ad duo sumo prima animal, eam debitis complectitur ne. Has eligendi contentiones ea, no vero mucius euismod usu. Tation vocibus at per, te aliquid albucius nam. Sed cu enim possit, vis te esse latine bonorum, mei dicam reprimique liberavisse ex. Nibh comprehensam an sea.",4000000,08E834,"wall, Bulgaria, Turkey"
12,,Detention Center in Ukraine,"Eu simul noster timeam mei, aliquip voluptua pri cu, ad eam habeo ridens. Munere malorum his ei, vis denique liberavisse vituperatoribus ex. Consul impedit euripidis nam te, facilis detraxit platonem ut sed. Cum at summo elitr, ne mundi nonumy feugait per. Ut sit omnes recusabo, porro sonet vim et.",5000000,FFD53E,"Ukraine, detention"
13,,Donations to Libya,"Lorem ipsum dolor sit amet, meis volumus nam ad, ei civibus adipisci comprehensam pri. Maiorum invenire periculis an eam, an has blandit efficiendi, cu mea placerat vivendum dissentiet. Quo ad quod viris scribentur, te pertinax concludaturque vis, in insolens maiestatis sit. Omittam recusabo mnesarchum sit ea. Vis sale melius ea, his cu dico cetero.",10000000,E551E8,"Libya, Italy"
